flow,snapshot,value,unit
YZ_CE_to_YZ_NR,2050-01-02 01:00:00,2538.1572314856376,MW
YZ_CE_to_YZ_NR,2050-01-03 02:00:00,1105.2014840166473,MW
YZ_CE_to_YZ_NR,2050-01-04 03:00:00,2003.7514840166475,MW
YZ_CE_to_YZ_NR,2050-01-05 04:00:00,3100.0,MW
YZ_CE_to_YZ_NR,2050-01-06 05:00:00,3100.0,MW
YZ_CE_to_YZ_NR,2050-01-07 06:00:00,3100.0,MW
YZ_CE_to_YZ_NR,2050-01-08 07:00:00,3100.0,MW
YZ_CE_to_YZ_NR,2050-01-09 08:00:00,2217.223610280098,MW
YZ_CE_to_YZ_NR,2050-01-10 09:00:00,1602.8495826859912,MW
YZ_CE_to_YZ_NR,2050-01-11 10:00:00,-628.3915789290663,MW
YZ_CE_to_YZ_NR,2050-01-12 11:00:00,2216.2844658125196,MW
YZ_CE_to_YZ_NR,2050-01-13 12:00:00,-665.3168918576607,MW
YZ_CE_to_YZ_NR,2050-01-14 13:00:00,-1049.8117851004317,MW
YZ_CE_to_YZ_NR,2050-01-15 14:00:00,988.6098050003294,MW
YZ_CE_to_YZ_NR,2050-01-16 15:00:00,151.58823508887008,MW
YZ_CE_to_YZ_NR,2050-01-17 16:00:00,3100.0,MW
YZ_CE_to_YZ_NR,2050-01-18 17:00:00,3100.0,MW
YZ_CE_to_YZ_NR,2050-01-19 18:00:00,-699.4189423309094,MW
YZ_CE_to_YZ_NR,2050-01-20 19:00:00,-512.1211235749113,MW
YZ_CE_to_YZ_NR,2050-01-21 20:00:00,1277.8684682640876,MW
YZ_CE_to_YZ_NR,2050-01-22 21:00:00,1162.182708070297,MW
YZ_CE_to_YZ_NR,2050-01-23 22:00:00,2622.753790362512,MW
YZ_CE_to_YZ_NR,2050-01-24 23:00:00,3100.0,MW
YZ_CE_to_YZ_NR,2050-01-26 00:00:00,3100.0,MW
YZ_CE_to_YZ_NR,2050-01-27 01:00:00,3100.0,MW
YZ_CE_to_YZ_NR,2050-01-28 02:00:00,3100.0,MW
YZ_CE_to_YZ_NR,2050-01-29 03:00:00,291.6440366306474,MW
YZ_CE_to_YZ_NR,2050-01-30 04:00:00,931.2949630395401,MW
YZ_CE_to_YZ_NR,2050-01-31 05:00:00,2652.7783992238997,MW
YZ_CE_to_YZ_NR,2050-02-01 06:00:00,3100.0,MW
YZ_CE_to_YZ_NR,2050-02-02 07:00:00,958.3161629000995,MW
YZ_CE_to_YZ_NR,2050-02-03 08:00:00,1139.7072314856355,MW
YZ_CE_to_YZ_NR,2050-02-04 09:00:00,1924.2358744365838,MW
YZ_CE_to_YZ_NR,2050-02-05 10:00:00,3100.0,MW
YZ_CE_to_YZ_NR,2050-02-06 11:00:00,-2042.3915144804937,MW
YZ_CE_to_YZ_NR,2050-02-07 12:00:00,738.5461101626644,MW
YZ_CE_to_YZ_NR,2050-02-08 13:00:00,-2228.387382685459,MW
