snapshot,region,status,value,country,unit
2035-09-04 21:00:00,CE,charging,24.58947368423,XY,MW
2035-09-05 22:00:00,NR,charging,29.20000000002,XY,MW
2035-09-06 23:00:00,SO,charging,23.05263157897,XY,MW
2035-09-08 00:00:00,CE,charging,27.957894736849997,XY,MW
2035-09-09 01:00:00,NR,charging,33.20000000002,XY,MW
2035-09-10 02:00:00,SO,charging,26.210526315799996,XY,MW
2035-09-11 03:00:00,CE,charging,13.81052631579,XY,MW
2035-09-12 04:00:00,NR,charging,16.40000000001,XY,MW
2035-09-13 05:00:00,SO,charging,12.94736842105,XY,MW
2035-09-14 06:00:00,CE,charging,15.157894736860001,XY,MW
2035-09-15 07:00:00,NR,charging,18.000000000020002,XY,MW
2035-09-16 08:00:00,SO,charging,14.2105263158,XY,MW
2035-09-17 09:00:00,CE,charging,14.484210526310001,XY,MW
2035-09-18 10:00:00,NR,charging,17.20000000001,XY,MW
2035-09-19 11:00:00,SO,charging,13.57894736843,XY,MW
2035-09-20 12:00:00,CE,charging,11.115789473700001,XY,MW
2035-09-21 13:00:00,NR,charging,13.20000000001,XY,MW
2035-09-22 14:00:00,SO,charging,10.421052631590001,XY,MW
2035-09-23 15:00:00,CE,charging,5.72631578949,XY,MW
2035-09-24 16:00:00,NR,charging,6.80000000001,XY,MW
2035-09-25 17:00:00,SO,charging,5.368421052641001,XY,MW
2035-09-26 18:00:00,CE,charging,7.74736842107,XY,MW
2035-09-27 19:00:00,NR,charging,9.20000000001,XY,MW
2035-09-28 20:00:00,SO,charging,7.26315789475,XY,MW
2035-09-29 21:00:00,CE,charging,10.1052631579,XY,MW
2035-09-30 22:00:00,NR,charging,12.000000000010001,XY,MW
2035-10-01 23:00:00,SO,charging,9.47368421053,XY,MW
2035-10-03 00:00:00,CE,charging,1.347368421053,XY,MW
2035-10-04 01:00:00,NR,charging,1.6000000000010002,XY,MW
2035-10-05 02:00:00,SO,charging,1.263157894738,XY,MW
2035-10-06 03:00:00,CE,charging,5.052631578945,XY,MW
2035-10-07 04:00:00,NR,charging,6.0,XY,MW
2035-10-08 05:00:00,SO,charging,4.736842105261999,XY,MW
2035-10-09 06:00:00,CE,charging,6.73684210527,XY,MW
2035-10-10 07:00:00,NR,charging,8.000000000010001,XY,MW
2035-10-11 08:00:00,SO,charging,6.31578947369,XY,MW
2035-10-12 09:00:00,CE,charging,8.084210526309999,XY,MW
