snapshot,country,status,value,unit
2040-10-20 18:00:00,XY,powerFlow,0.0,MW
2040-10-21 19:00:00,XY,powerFlow,0.0,MW
2040-10-22 20:00:00,XY,powerFlow,0.0,MW
2040-10-23 21:00:00,XY,powerFlow,0.0,MW
2040-10-24 22:00:00,XY,powerFlow,0.0,MW
2040-10-25 23:00:00,XY,powerFlow,0.0,MW
2040-10-27 00:00:00,XY,powerFlow,0.0,MW
2040-10-28 01:00:00,XY,powerFlow,0.0,MW
2040-10-29 02:00:00,XY,powerFlow,0.0,MW
2040-10-30 03:00:00,XY,powerFlow,0.0,MW
2040-10-31 04:00:00,XY,powerFlow,0.0,MW
2040-11-01 05:00:00,XY,powerFlow,0.0,MW
2040-11-02 06:00:00,XY,powerFlow,0.0,MW
2040-11-03 07:00:00,XY,powerFlow,0.0,MW
2040-11-04 08:00:00,XY,powerFlow,0.0,MW
2040-11-05 09:00:00,XY,powerFlow,0.0,MW
2040-11-06 10:00:00,XY,powerFlow,0.0,MW
2040-11-07 11:00:00,XY,powerFlow,0.0,MW
2040-11-08 12:00:00,XY,powerFlow,0.0,MW
2040-11-09 13:00:00,XY,powerFlow,0.0,MW
2040-11-10 14:00:00,XY,powerFlow,0.0,MW
2040-11-11 15:00:00,XY,powerFlow,0.0,MW
2040-11-12 16:00:00,XY,powerFlow,0.0,MW
2040-11-13 17:00:00,XY,powerFlow,0.0,MW
2040-11-14 18:00:00,XY,powerFlow,0.0,MW
2040-11-15 19:00:00,XY,powerFlow,0.0,MW
2040-11-16 20:00:00,XY,powerFlow,0.0,MW
2040-11-17 21:00:00,XY,powerFlow,0.0,MW
2040-11-18 22:00:00,XY,powerFlow,0.0,MW
2040-11-19 23:00:00,XY,powerFlow,0.0,MW
2040-11-21 00:00:00,XY,powerFlow,0.0,MW
2040-11-22 01:00:00,XY,powerFlow,0.0,MW
2040-11-23 02:00:00,XY,powerFlow,0.0,MW
2040-11-24 03:00:00,XY,powerFlow,0.0,MW
2040-11-25 04:00:00,XY,powerFlow,0.0,MW
2040-11-26 05:00:00,XY,powerFlow,0.0,MW
2040-11-27 06:00:00,XY,powerFlow,0.0,MW
2040-11-28 07:00:00,XY,powerFlow,0.0,MW
2040-11-29 08:00:00,XY,powerFlow,0.0,MW
2040-11-30 09:00:00,XY,powerFlow,0.0,MW
2040-12-01 10:00:00,XY,powerFlow,0.0,MW
