flow,snapshot,value,unit
XY_CE_to_XY_NR,2030-08-14 00:00:00,-1018.2749999980297,MW
XY_CE_to_XY_NR,2030-08-15 01:00:00,-1139.7749999980483,MW
XY_CE_to_XY_NR,2030-08-16 02:00:00,-1192.8249999980465,MW
XY_CE_to_XY_NR,2030-08-17 03:00:00,-1347.1499999980451,MW
XY_CE_to_XY_NR,2030-08-18 04:00:00,-1352.2999999980448,MW
XY_CE_to_XY_NR,2030-08-19 05:00:00,-1298.024999998046,MW
XY_CE_to_XY_NR,2030-08-20 06:00:00,-1315.0381578928007,MW
XY_CE_to_XY_NR,2030-08-21 07:00:00,-1248.1749999980511,MW
XY_CE_to_XY_NR,2030-08-22 08:00:00,-1079.5749999980535,MW
XY_CE_to_XY_NR,2030-08-23 09:00:00,-1071.674999998056,MW
XY_CE_to_XY_NR,2030-08-24 10:00:00,-1423.6749999980573,MW
XY_CE_to_XY_NR,2030-08-25 11:00:00,-1299.647985905035,MW
XY_CE_to_XY_NR,2030-08-26 12:00:00,-1567.07499999806,MW
XY_CE_to_XY_NR,2030-08-27 13:00:00,-1237.1154913318637,MW
XY_CE_to_XY_NR,2030-08-28 14:00:00,-1449.474999998059,MW
XY_CE_to_XY_NR,2030-08-29 15:00:00,-1116.8749999980591,MW
XY_CE_to_XY_NR,2030-08-30 16:00:00,-1108.974999998061,MW
XY_CE_to_XY_NR,2030-08-31 17:00:00,-1402.674999998064,MW
XY_CE_to_XY_NR,2030-09-01 18:00:00,-1307.7249999980688,MW
XY_CE_to_XY_NR,2030-09-02 19:00:00,-878.4249999980384,MW
XY_CE_to_XY_NR,2030-09-03 20:00:00,-1126.274999998066,MW
XY_CE_to_XY_NR,2030-09-04 21:00:00,-1234.0749999980326,MW
XY_CE_to_XY_NR,2030-09-05 22:00:00,-1161.4434999980176,MW
XY_CE_to_XY_NR,2030-09-06 23:00:00,-1078.6749999980536,MW
XY_CE_to_XY_NR,2030-09-08 00:00:00,-1189.8749999980516,MW
XY_CE_to_XY_NR,2030-09-09 01:00:00,-1283.0249999980515,MW
XY_CE_to_XY_NR,2030-09-10 02:00:00,-1318.174999998049,MW
XY_CE_to_XY_NR,2030-09-11 03:00:00,-1343.8999999980465,MW
XY_CE_to_XY_NR,2030-09-12 04:00:00,-1369.899999998043,MW
XY_CE_to_XY_NR,2030-09-13 05:00:00,-1300.5749999980428,MW
XY_CE_to_XY_NR,2030-09-14 06:00:00,-1383.1749999980445,MW
XY_CE_to_XY_NR,2030-09-15 07:00:00,-1367.2749999980488,MW
XY_CE_to_XY_NR,2030-09-16 08:00:00,-1301.1749999980468,MW
XY_CE_to_XY_NR,2030-09-17 09:00:00,-1241.8749999980457,MW
XY_CE_to_XY_NR,2030-09-18 10:00:00,-1336.1749999980584,MW
XY_CE_to_XY_NR,2030-09-19 11:00:00,-1220.7749999980572,MW
XY_CE_to_XY_NR,2030-09-20 12:00:00,-1396.2749999980574,MW
XY_CE_to_XY_NR,2030-09-21 13:00:00,-1376.6749999980577,MW
XY_CE_to_XY_NR,2030-09-22 14:00:00,-1837.3249999980628,MW
XY_CE_to_XY_NR,2030-09-23 15:00:00,-1479.674999998063,MW
XY_CE_to_XY_NR,2030-09-24 16:00:00,-1221.1749999980639,MW
XY_CE_to_XY_NR,2030-09-25 17:00:00,-1107.5749999980624,MW
XY_CE_to_XY_NR,2030-09-26 18:00:00,-1131.899999998039,MW
XY_CE_to_XY_NR,2030-09-27 19:00:00,-991.849999998039,MW
